"coupon_count","age","income","home_ownership","marital_status","household_size","household_comp","kids_count"
"high","65+","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"high","25-34","25-34K",NA,NA,"3","2 Adults Kids","1"
"high","25-34","75-99K","Homeowner",NA,"4","2 Adults Kids","2"
"high","45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","65+","Under 15K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","45-54","100-124K","Homeowner","Married","2","2 Adults No Kids","0"
"high","35-44","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","25-34","75-99K","Renter","Married","2","2 Adults No Kids","0"
"high","45-54","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
"high","35-44","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","45-54","25-34K","Probable Renter","Unmarried","1","1 Adult No Kids","0"
"low","35-44","35-49K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","35-44","125-149K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","Under 15K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","65+","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","15-24K","Homeowner","Unmarried","5+","2 Adults Kids","3+"
"high","45-54","150-174K","Homeowner","Married","5+","2 Adults Kids","3+"
"low","19-24","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","35-44","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","50-74K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","65+","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
"low","55-64","100-124K","Homeowner","Married","4","2 Adults Kids","2"
"high","45-54","35-49K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","25-34","150-174K","Homeowner","Married","4","2 Adults Kids","2"
"high","45-54","Under 15K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","35-44","25-34K","Homeowner","Married","2","1 Adult Kids","1"
"high","65+","15-24K","Homeowner","Married","2","2 Adults No Kids","0"
"high","35-44","100-124K","Homeowner","Married","5+","2 Adults Kids","3+"
