"household_id","coupon_count","age","income","home_ownership","marital_status","household_size","household_comp","kids_count"
1,237,"65+","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
7,143,"45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
8,303,"25-34","25-34K",NA,NA,"3","2 Adults Kids","1"
13,241,"25-34","75-99K","Homeowner",NA,"4","2 Adults Kids","2"
16,82,"45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
17,200,"65+","Under 15K","Homeowner","Unmarried","2","2 Adults No Kids","0"
18,160,"45-54","100-124K","Homeowner","Married","2","2 Adults No Kids","0"
19,222,"35-44","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
20,181,"25-34","75-99K","Renter","Married","2","2 Adults No Kids","0"
22,247,"45-54","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
25,200,"35-44","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
27,250,"45-54","25-34K","Probable Renter","Unmarried","1","1 Adult No Kids","0"
39,149,"35-44","125-149K","Homeowner","Married","2","2 Adults No Kids","0"
40,257,"45-54","Under 15K","Homeowner",NA,"2","2 Adults No Kids","0"
42,153,"65+","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
43,173,"35-44","15-24K","Homeowner","Unmarried","5+","2 Adults Kids","3+"
46,213,"45-54","150-174K","Homeowner","Married","5+","2 Adults Kids","3+"
49,172,"35-44","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
52,230,"45-54","50-74K","Homeowner","Unmarried","2","2 Adults No Kids","0"
55,160,"65+","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
57,186,"45-54","35-49K","Homeowner","Unmarried","2","2 Adults No Kids","0"
58,213,"25-34","150-174K","Homeowner","Married","4","2 Adults Kids","2"
67,179,"45-54","Under 15K","Homeowner","Married","5+","2 Adults Kids","3+"
71,104,"35-44","25-34K","Homeowner","Married","2","1 Adult Kids","1"
74,193,"65+","15-24K","Homeowner","Married","2","2 Adults No Kids","0"
77,89,"35-44","100-124K","Homeowner","Married","5+","2 Adults Kids","3+"
78,179,"55-64","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
80,81,"45-54","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
85,233,"25-34","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
86,105,"65+","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
97,156,"45-54","75-99K",NA,"Unmarried","1","1 Adult No Kids","0"
98,105,"35-44","35-49K",NA,"Unmarried","2","1 Adult Kids","1"
101,180,"45-54","Under 15K","Homeowner","Married","4","2 Adults Kids","2"
104,239,"35-44","35-49K","Homeowner","Married","5+","2 Adults Kids","3+"
105,277,"25-34","Under 15K","Homeowner","Unmarried","3","1 Adult Kids","2"
109,160,"25-34","15-24K","Homeowner","Married","2","1 Adult Kids","1"
110,153,"25-34","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
113,253,"35-44","125-149K","Homeowner","Married","4","2 Adults Kids","2"
114,153,"25-34","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
117,195,"65+","35-49K","Probable Homeowner","Unmarried","2","2 Adults No Kids","0"
118,200,"45-54","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
119,105,"45-54","125-149K",NA,"Unmarried","1","1 Adult No Kids","0"
121,153,"45-54","25-34K",NA,NA,"3","2 Adults Kids","1"
123,153,"45-54","35-49K","Homeowner","Unmarried","2","2 Adults No Kids","0"
127,146,"45-54","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
131,227,"45-54","50-74K",NA,NA,"2","2 Adults No Kids","0"
133,180,"45-54","Under 15K","Homeowner","Married","2","1 Adult Kids","1"
134,207,"55-64","25-34K","Homeowner","Married","2","1 Adult Kids","1"
136,105,"45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
139,104,"35-44","75-99K","Homeowner","Unmarried","1","1 Adult No Kids","0"
149,207,"45-54","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
155,97,"35-44","50-74K","Homeowner","Unmarried","3","2 Adults Kids","1"
157,199,"19-24","15-24K","Homeowner",NA,"2","2 Adults No Kids","0"
158,160,"45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
161,109,"19-24","75-99K",NA,"Married","3","2 Adults Kids","1"
164,116,"45-54","35-49K",NA,NA,"2","2 Adults No Kids","0"
165,252,"55-64","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
166,104,"25-34","50-74K","Homeowner","Married","3","2 Adults Kids","1"
184,144,"45-54","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
192,112,"45-54","35-49K","Homeowner","Married","2","1 Adult Kids","1"
193,212,"45-54","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
198,222,"35-44","Under 15K","Homeowner","Married","3","2 Adults Kids","1"
208,257,"45-54","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
209,187,"45-54","25-34K","Homeowner",NA,"3","2 Adults Kids","1"
211,104,"65+","35-49K","Homeowner","Married","2","1 Adult Kids","1"
212,208,"35-44","Under 15K",NA,"Unmarried","1","1 Adult No Kids","0"
214,203,"55-64","Under 15K","Homeowner","Unmarried","2","2 Adults No Kids","0"
216,97,"35-44","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
218,165,"45-54","15-24K","Homeowner","Married","2","2 Adults No Kids","0"
219,232,"55-64","150-174K","Homeowner","Married","2","2 Adults No Kids","0"
220,137,"45-54","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
221,153,"65+","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
222,153,"35-44","35-49K",NA,"Married","2","2 Adults No Kids","0"
230,153,"25-34","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
232,206,"35-44","35-49K",NA,NA,"2","2 Adults No Kids","0"
235,242,"35-44","250K+","Homeowner","Married","5+","2 Adults Kids","3+"
239,256,"45-54","50-74K","Renter","Unmarried","1","1 Adult No Kids","0"
242,153,"45-54","75-99K","Homeowner","Married","5+","2 Adults Kids","3+"
243,181,"65+","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
249,153,"35-44","Under 15K","Renter","Married","3","2 Adults Kids","1"
253,222,"45-54","Under 15K",NA,"Unmarried","1","1 Adult No Kids","0"
256,256,"25-34","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
257,97,"25-34","25-34K",NA,"Unmarried","3","1 Adult Kids","2"
263,211,"45-54","35-49K",NA,NA,"2","2 Adults No Kids","0"
276,195,"35-44","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
281,242,"35-44","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
282,174,"45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
283,122,"25-34","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
289,193,"45-54","100-124K","Homeowner","Unmarried","1","1 Adult No Kids","0"
290,236,"25-34","35-49K",NA,NA,"2","2 Adults No Kids","0"
294,279,"25-34","50-74K","Homeowner","Married","4","2 Adults Kids","2"
300,227,"55-64","Under 15K",NA,"Married","2","1 Adult Kids","1"
301,199,"35-44","35-49K","Homeowner","Married","4","2 Adults Kids","2"
304,278,"25-34","50-74K",NA,NA,"2","2 Adults No Kids","0"
306,188,"19-24","35-49K","Homeowner",NA,"4","2 Adults Kids","2"
317,234,"45-54","75-99K","Homeowner","Married","2","1 Adult Kids","1"
319,200,"45-54","35-49K","Homeowner","Unmarried","4","1 Adult Kids","3+"
321,207,"45-54","100-124K","Homeowner","Married","2","2 Adults No Kids","0"
324,208,"45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
329,200,"25-34","75-99K",NA,"Unmarried","1","1 Adult No Kids","0"
332,187,"35-44","125-149K","Homeowner","Married","5+","2 Adults Kids","3+"
334,214,"45-54","Under 15K","Homeowner","Married","2","2 Adults No Kids","0"
346,153,"65+","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
350,178,"45-54","50-74K","Homeowner","Married","4","1 Adult Kids","2"
351,228,"45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
353,153,"45-54","150-174K","Homeowner","Married","2","2 Adults No Kids","0"
354,201,"25-34","35-49K","Homeowner","Married","5+","2 Adults Kids","3+"
358,173,"35-44","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
361,276,"45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
362,151,"65+","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
367,226,"55-64","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
371,222,"35-44","75-99K","Homeowner","Married","3","2 Adults Kids","1"
377,193,"45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
378,179,"55-64","50-74K","Homeowner","Married","2","1 Adult Kids","1"
381,173,"25-34","35-49K","Homeowner","Unmarried","2","1 Adult Kids","1"
383,156,"45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
386,165,"35-44","25-34K","Probable Homeowner","Unmarried","1","1 Adult No Kids","0"
387,153,"25-34","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
389,229,"35-44","150-174K","Probable Homeowner","Unmarried","1","1 Adult No Kids","0"
390,153,"45-54","25-34K","Renter","Unmarried","1","1 Adult No Kids","0"
392,187,"35-44","250K+","Homeowner","Married","3","2 Adults Kids","1"
404,271,"25-34","25-34K",NA,"Married","2","2 Adults No Kids","0"
409,203,"19-24","25-34K","Homeowner","Unmarried","2","2 Adults No Kids","0"
411,193,"35-44","Under 15K",NA,NA,"2","2 Adults No Kids","0"
412,136,"65+","15-24K","Homeowner","Married","2","1 Adult Kids","1"
413,247,"45-54","100-124K",NA,"Unmarried","1","1 Adult No Kids","0"
418,258,"35-44","35-49K",NA,NA,"3","2 Adults Kids","1"
426,153,"45-54","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
428,174,"19-24","50-74K","Probable Homeowner",NA,"2","2 Adults No Kids","0"
434,257,"35-44","15-24K","Homeowner","Married","3","2 Adults Kids","1"
437,263,"25-34","50-74K","Homeowner","Married","5+","2 Adults Kids","3+"
443,160,"45-54","25-34K","Homeowner","Married","2","2 Adults No Kids","0"
451,153,"25-34","Under 15K","Renter","Unmarried","2","2 Adults No Kids","0"
454,248,"55-64","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
456,282,"19-24","50-74K","Homeowner","Unmarried","2","2 Adults No Kids","0"
458,187,"55-64","35-49K","Homeowner","Married","2","1 Adult Kids","1"
460,186,"65+","25-34K","Homeowner","Unmarried","1","1 Adult No Kids","0"
464,228,"65+","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
469,160,"45-54","75-99K","Probable Homeowner","Unmarried","1","1 Adult No Kids","0"
473,105,"45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
483,151,"45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
484,153,"25-34","15-24K",NA,NA,"2","2 Adults No Kids","0"
489,156,"55-64","150-174K",NA,"Unmarried","1","1 Adult No Kids","0"
490,200,"35-44","75-99K","Homeowner","Married","5+","2 Adults Kids","3+"
491,193,"45-54","75-99K",NA,"Married","2","1 Adult Kids","1"
492,230,"45-54","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
493,179,"55-64","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
510,246,"35-44","250K+","Homeowner","Married","3","2 Adults Kids","1"
513,193,"45-54","75-99K","Homeowner",NA,"2","2 Adults No Kids","0"
518,165,"45-54","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
523,104,"65+","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
526,259,"45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
527,112,"45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
534,119,"45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
542,104,"25-34","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
543,195,"35-44","35-49K","Probable Homeowner","Married","3","1 Adult Kids","1"
546,153,"45-54","50-74K",NA,NA,"2","2 Adults No Kids","0"
548,186,"35-44","75-99K","Homeowner","Unmarried","2","2 Adults No Kids","0"
553,229,"45-54","75-99K","Homeowner",NA,"2","2 Adults No Kids","0"
560,242,"19-24","35-49K",NA,NA,"2","2 Adults No Kids","0"
567,97,"19-24","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
569,257,"35-44","250K+","Homeowner","Married","3","2 Adults Kids","1"
574,256,"35-44","75-99K","Homeowner","Married","3","2 Adults Kids","1"
575,245,"35-44","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
576,252,"55-64","35-49K","Homeowner","Married","2","1 Adult Kids","1"
578,108,"25-34","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
582,153,"45-54","125-149K","Homeowner","Married","3","2 Adults Kids","1"
583,214,"35-44","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
586,264,"19-24","35-49K","Renter","Married","3","2 Adults Kids","1"
588,318,"35-44","50-74K","Homeowner","Married","5+","2 Adults Kids","3+"
